ticket_id,user_id,title,description,category,resolution,priority,created_at,assignment_group,status
TKT-1037,USR-7284,SSL Certificate expiring soon,The wildcard certificate for *.internal.com expires in 3 days.,Security,Reset credentials and sent encrypted link to user.,P2 - High,2026-01-11 17:00:00,SOC (Security Operations Center),Resolved
TKT-1038,USR-6062,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,Patched system to latest stable version.,P2 - High,2026-04-01 10:00:00,DBA Global,Resolved
TKT-1039,USR-6111,Disk space critical on /var/log,Free space is below 5% on the logging partition. Need urgent cleanup.,Infrastructure,Fixed race condition in the codebase.,P3 - Medium,2026-01-13 08:00:00,Cloud Ops Team,Closed
TKT-1040,USR-8687,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-03-25 11:00:00,App Support Tier 2,Open
TKT-1041,USR-5260,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-03-11 10:00:00,App Support Tier 2,Open
TKT-1042,USR-8968,Unauthorized login attempt detected,Multiple failed login attempts from an unknown IP address range in Eastern Europe.,Security,N/A - Ticket still open,P1 - Critical,2026-01-07 10:00:00,SOC (Security Operations Center),Open
TKT-1043,USR-6618,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,Reset credentials and sent encrypted link to user.,P1 - Critical,2026-01-24 00:00:00,SOC (Security Operations Center),Resolved
TKT-1044,USR-7090,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-01-12 13:00:00,Network Engineering,Open
TKT-1045,USR-7672,Auto-scaling group failing to launch,New instances are being terminated immediately after launch due to IAM role mismatch.,Infrastructure,Patched system to latest stable version.,P2 - High,2026-03-15 04:00:00,Cloud Ops Team,Closed
TKT-1046,USR-7473,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,N/A - Ticket still open,P1 - Critical,2026-03-22 13:00:00,App Support Tier 2,In Progress
TKT-1047,USR-6745,SSL Certificate expiring soon,The wildcard certificate for *.internal.com expires in 3 days.,Security,N/A - Ticket still open,P2 - High,2026-02-05 13:00:00,SOC (Security Operations Center),Open
TKT-1048,USR-8501,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-01-14 11:00:00,SAN/Storage Team,In Progress
TKT-1049,USR-5185,Server 71 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,N/A - Ticket still open,P2 - High,2026-03-04 08:00:00,Cloud Ops Team,In Progress
TKT-1050,USR-7414,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-01-08 05:00:00,DBA Global,In Progress
TKT-1051,USR-7560,SSO Integration failing,Users getting 'SAML Token Invalid' error when trying to access Jira.,Access Management,Coordinated with ISP to resolve routing issue.,P2 - High,2026-02-13 01:00:00,Identity & Access Management (IAM),Resolved
TKT-1052,USR-9354,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Restarted service and cleared cache.,P3 - Medium,2026-01-11 23:00:00,Network Engineering,Resolved
TKT-1053,USR-7356,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Fixed race condition in the codebase.,P3 - Medium,2026-01-28 12:00:00,Identity & Access Management (IAM),Resolved
TKT-1054,USR-8189,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Coordinated with ISP to resolve routing issue.,P3 - Medium,2026-01-19 19:00:00,Network Engineering,Resolved
TKT-1055,USR-7455,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Fixed race condition in the codebase.,P3 - Medium,2026-01-26 04:00:00,Identity & Access Management (IAM),Resolved
TKT-1056,USR-6748,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Reset credentials and sent encrypted link to user.,P3 - Medium,2026-01-14 13:00:00,Network Engineering,Closed
TKT-1057,USR-8546,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Restarted service and cleared cache.,P2 - High,2026-02-07 04:00:00,SAN/Storage Team,Closed
TKT-1058,USR-8524,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,N/A - Ticket still open,P1 - Critical,2026-03-24 17:00:00,SOC (Security Operations Center),In Progress
TKT-1059,USR-7393,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,Fixed race condition in the codebase.,P1 - Critical,2026-03-13 22:00:00,App Support Tier 2,Closed
TKT-1060,USR-5106,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-02-09 03:00:00,App Support Tier 2,In Progress
TKT-1061,USR-5549,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Applied database index to optimize query performance.,P4 - Low,2026-01-14 12:00:00,Identity & Access Management (IAM),Resolved
TKT-1062,USR-9080,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-03-11 22:00:00,Network Engineering,Open
TKT-1063,USR-8893,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,N/A - Ticket still open,P1 - Critical,2026-03-10 11:00:00,App Support Tier 2,Open
TKT-1064,USR-6861,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Increased partition size by 50GB.,P3 - Medium,2026-02-20 21:00:00,Identity & Access Management (IAM),Closed
TKT-1065,USR-8732,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,Applied database index to optimize query performance.,P1 - Critical,2026-03-05 06:00:00,App Support Tier 2,Resolved
TKT-1066,USR-6963,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,N/A - Ticket still open,P3 - Medium,2026-03-01 15:00:00,Identity & Access Management (IAM),In Progress
TKT-1067,USR-6895,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-03-30 19:00:00,SAN/Storage Team,In Progress
TKT-1068,USR-8796,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Applied database index to optimize query performance.,P3 - Medium,2026-01-26 15:00:00,Network Engineering,Resolved
TKT-1069,USR-6396,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,N/A - Ticket still open,P1 - Critical,2026-03-01 05:00:00,App Support Tier 2,Open
TKT-1070,USR-7154,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,N/A - Ticket still open,P4 - Low,2026-01-09 03:00:00,Identity & Access Management (IAM),Open
TKT-1071,USR-7056,Server 77 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,N/A - Ticket still open,P2 - High,2026-03-09 09:00:00,Cloud Ops Team,In Progress
TKT-1072,USR-9143,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Increased partition size by 50GB.,P2 - High,2026-03-28 21:00:00,SAN/Storage Team,Closed
TKT-1073,USR-9953,Slow query on transactions table,SELECT queries taking more than 10 seconds to complete on the production Postgres instance.,Database,Increased partition size by 50GB.,P3 - Medium,2026-03-08 10:00:00,DBA Global,Closed
TKT-1074,USR-7331,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,N/A - Ticket still open,P1 - Critical,2026-01-30 16:00:00,SOC (Security Operations Center),In Progress
TKT-1075,USR-8336,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-03-05 13:00:00,SAN/Storage Team,In Progress
TKT-1076,USR-6356,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,N/A - Ticket still open,P3 - Medium,2026-01-05 20:00:00,Network Engineering,In Progress
TKT-1077,USR-9675,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,N/A - Ticket still open,P4 - Low,2026-01-26 16:00:00,App Support Tier 2,In Progress
TKT-1078,USR-5981,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,Patched system to latest stable version.,P1 - Critical,2026-02-17 05:00:00,SOC (Security Operations Center),Resolved
TKT-1079,USR-7057,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,Applied database index to optimize query performance.,P1 - Critical,2026-03-18 12:00:00,Network Engineering,Closed
TKT-1080,USR-6786,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,Reset credentials and sent encrypted link to user.,P2 - High,2026-03-16 07:00:00,DBA Global,Closed
TKT-1081,USR-9908,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,Increased partition size by 50GB.,P2 - High,2026-03-12 16:00:00,Network Engineering,Closed
TKT-1082,USR-8772,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,N/A - Ticket still open,P4 - Low,2026-02-21 07:00:00,Identity & Access Management (IAM),In Progress
TKT-1083,USR-6042,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Coordinated with ISP to resolve routing issue.,P4 - Low,2026-01-14 09:00:00,Identity & Access Management (IAM),Resolved
TKT-1084,USR-8591,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,Fixed race condition in the codebase.,P3 - Medium,2026-03-17 14:00:00,SAN/Storage Team,Resolved
TKT-1085,USR-7374,SSO Integration failing,Users getting 'SAML Token Invalid' error when trying to access Jira.,Access Management,N/A - Ticket still open,P2 - High,2026-03-19 04:00:00,Identity & Access Management (IAM),In Progress
TKT-1086,USR-9939,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-01-30 00:00:00,DBA Global,Open
TKT-1087,USR-9605,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,Coordinated with ISP to resolve routing issue.,P2 - High,2026-02-28 12:00:00,DBA Global,Closed
TKT-1088,USR-5476,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,Increased partition size by 50GB.,P2 - High,2026-01-28 05:00:00,Network Engineering,Closed
TKT-1089,USR-7498,Database connection pool exhausted,Application logs showing 'Could not get JDBC Connection'. Pool size at maximum.,Database,Restarted service and cleared cache.,P2 - High,2026-02-05 16:00:00,DBA Global,Closed
TKT-1090,USR-7796,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,N/A - Ticket still open,P2 - High,2026-02-06 18:00:00,Network Engineering,In Progress
TKT-1091,USR-9509,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,Restarted service and cleared cache.,P2 - High,2026-03-31 17:00:00,Network Engineering,Closed
TKT-1092,USR-5594,Server 24 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,Coordinated with ISP to resolve routing issue.,P2 - High,2026-03-16 19:00:00,Cloud Ops Team,Closed
TKT-1093,USR-9197,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,N/A - Ticket still open,P2 - High,2026-02-22 07:00:00,SAN/Storage Team,In Progress
TKT-1094,USR-8635,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,N/A - Ticket still open,P1 - Critical,2026-02-06 10:00:00,App Support Tier 2,Open
TKT-1095,USR-7898,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-02-19 09:00:00,SAN/Storage Team,Open
TKT-1096,USR-6651,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,Applied database index to optimize query performance.,P3 - Medium,2026-01-11 21:00:00,SAN/Storage Team,Closed
TKT-1097,USR-7127,SSL Certificate expiring soon,The wildcard certificate for *.internal.com expires in 3 days.,Security,N/A - Ticket still open,P2 - High,2026-03-05 17:00:00,SOC (Security Operations Center),Open
TKT-1098,USR-8005,Server 92 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,Patched system to latest stable version.,P2 - High,2026-03-06 18:00:00,Cloud Ops Team,Closed
TKT-1099,USR-7913,Unauthorized login attempt detected,Multiple failed login attempts from an unknown IP address range in Eastern Europe.,Security,Applied database index to optimize query performance.,P1 - Critical,2026-03-08 22:00:00,SOC (Security Operations Center),Closed
TKT-1100,USR-7323,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,N/A - Ticket still open,P2 - High,2026-03-10 14:00:00,Network Engineering,Open
TKT-1101,USR-8626,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,N/A - Ticket still open,P2 - High,2026-03-18 07:00:00,SAN/Storage Team,Open
TKT-1102,USR-6187,Auto-scaling group failing to launch,New instances are being terminated immediately after launch due to IAM role mismatch.,Infrastructure,Updated Security Group rules to allow traffic.,P2 - High,2026-02-20 11:00:00,Cloud Ops Team,Resolved
TKT-1103,USR-9952,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,N/A - Ticket still open,P4 - Low,2026-02-20 11:00:00,Identity & Access Management (IAM),In Progress
TKT-1104,USR-7795,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,N/A - Ticket still open,P4 - Low,2026-02-22 10:00:00,App Support Tier 2,Open
TKT-1105,USR-5972,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,N/A - Ticket still open,P3 - Medium,2026-03-20 02:00:00,SAN/Storage Team,Open
TKT-1106,USR-7344,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,Restarted service and cleared cache.,P4 - Low,2026-01-21 03:00:00,App Support Tier 2,Closed
TKT-1107,USR-5478,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Restarted service and cleared cache.,P3 - Medium,2026-01-17 05:00:00,Identity & Access Management (IAM),Resolved
TKT-1108,USR-7608,Disk space critical on /var/log,Free space is below 5% on the logging partition. Need urgent cleanup.,Infrastructure,N/A - Ticket still open,P3 - Medium,2026-01-20 23:00:00,Cloud Ops Team,In Progress
TKT-1109,USR-6604,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,Fixed race condition in the codebase.,P1 - Critical,2026-02-07 17:00:00,App Support Tier 2,Closed
TKT-1110,USR-8275,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Updated Security Group rules to allow traffic.,P3 - Medium,2026-02-28 23:00:00,Network Engineering,Closed
TKT-1111,USR-8640,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,N/A - Ticket still open,P4 - Low,2026-03-30 21:00:00,Identity & Access Management (IAM),Open
TKT-1112,USR-5320,Auto-scaling group failing to launch,New instances are being terminated immediately after launch due to IAM role mismatch.,Infrastructure,N/A - Ticket still open,P2 - High,2026-01-21 05:00:00,Cloud Ops Team,Open
TKT-1113,USR-8845,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,Coordinated with ISP to resolve routing issue.,P1 - Critical,2026-03-12 10:00:00,Network Engineering,Resolved
TKT-1114,USR-6618,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-02-26 18:00:00,App Support Tier 2,In Progress
TKT-1115,USR-7506,SSO Integration failing,Users getting 'SAML Token Invalid' error when trying to access Jira.,Access Management,N/A - Ticket still open,P2 - High,2026-03-20 11:00:00,Identity & Access Management (IAM),In Progress
TKT-1116,USR-8031,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,N/A - Ticket still open,P1 - Critical,2026-02-28 15:00:00,SOC (Security Operations Center),In Progress
TKT-1117,USR-9388,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Patched system to latest stable version.,P2 - High,2026-01-08 09:00:00,SAN/Storage Team,Resolved
TKT-1118,USR-8953,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,Patched system to latest stable version.,P3 - Medium,2026-01-11 21:00:00,SAN/Storage Team,Closed
TKT-1119,USR-9802,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,N/A - Ticket still open,P4 - Low,2026-01-04 01:00:00,App Support Tier 2,Open
TKT-1120,USR-5430,Vulnerability scan finding - Log4j,Critical vulnerability detected on legacy server. Patching required.,Security,Increased partition size by 50GB.,P1 - Critical,2026-02-06 02:00:00,SOC (Security Operations Center),Resolved
TKT-1121,USR-7505,Database connection pool exhausted,Application logs showing 'Could not get JDBC Connection'. Pool size at maximum.,Database,Increased partition size by 50GB.,P2 - High,2026-01-29 02:00:00,DBA Global,Resolved
TKT-1122,USR-6069,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,N/A - Ticket still open,P4 - Low,2026-02-22 06:00:00,App Support Tier 2,In Progress
TKT-1123,USR-7332,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,Updated Security Group rules to allow traffic.,P3 - Medium,2026-02-28 11:00:00,SAN/Storage Team,Closed
TKT-1124,USR-5871,Server 70 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,N/A - Ticket still open,P2 - High,2026-03-27 10:00:00,Cloud Ops Team,Open
TKT-1125,USR-5122,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Applied database index to optimize query performance.,P3 - Medium,2026-02-08 17:00:00,Identity & Access Management (IAM),Closed
TKT-1126,USR-8985,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-02-17 20:00:00,DBA Global,Open
TKT-1127,USR-9347,Firewall rule blocking Port 443,New load balancer is not receiving traffic; likely a Security Group or NACL issue.,Network,N/A - Ticket still open,P2 - High,2026-02-02 22:00:00,Network Engineering,In Progress
TKT-1128,USR-5404,Latency spikes in region us-east-1,Noticeable lag in cross-AZ communication within the production VPC.,Network,Patched system to latest stable version.,P3 - Medium,2026-03-17 01:00:00,Network Engineering,Resolved
TKT-1129,USR-8715,Unauthorized login attempt detected,Multiple failed login attempts from an unknown IP address range in Eastern Europe.,Security,N/A - Ticket still open,P1 - Critical,2026-01-19 01:00:00,SOC (Security Operations Center),Open
TKT-1130,USR-8534,Server 66 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,Updated Security Group rules to allow traffic.,P2 - High,2026-02-09 09:00:00,Cloud Ops Team,Resolved
TKT-1131,USR-6414,Database connection pool exhausted,Application logs showing 'Could not get JDBC Connection'. Pool size at maximum.,Database,Fixed race condition in the codebase.,P2 - High,2026-01-22 20:00:00,DBA Global,Closed
TKT-1132,USR-6396,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Applied database index to optimize query performance.,P4 - Low,2026-01-12 22:00:00,Identity & Access Management (IAM),Resolved
TKT-1133,USR-9675,SSL Certificate expiring soon,The wildcard certificate for *.internal.com expires in 3 days.,Security,N/A - Ticket still open,P2 - High,2026-01-22 22:00:00,SOC (Security Operations Center),In Progress
TKT-1134,USR-6919,New hire onboarding - AD Access,New developer needs access to GitHub and AWS Sandbox environments.,Access Management,Updated Security Group rules to allow traffic.,P3 - Medium,2026-02-22 18:00:00,Identity & Access Management (IAM),Closed
TKT-1135,USR-9029,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-02-08 15:00:00,SAN/Storage Team,Open
