ticket_id,title,description,category,priority,resolution,created_date,status,resolution_time_hours
INCR956D,Backup failed for MAIL-SRV-02,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Replaced faulty hardware component. Ran full diagnostics and confirmed system stability.,03-07-2025 10:36,Closed,51
INCS414W,Storage array performance issues,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Restarted File Service service and verified functionality. Implemented monitoring alerts for early detection.,20-08-2025 10:36,Resolved,39
INCL370M,VM migration required for FILE-SRV-01,VM VM-DB-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Low,Scheduled maintenance window. Successfully migrated VM with zero data loss.,01-12-2025 10:36,Resolved,58
INCG756P,Server down - DB-SERVER-02,VM VM-APP-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Restarted Mail Service service and verified functionality. Implemented monitoring alerts for early detection.,02-10-2025 10:36,Closed,23
INCT417I,Routing table corruption on [router],VLAN [vlan_id] misconfigured on SW-MGMT-01. Inter-VLAN communication broken.,Network,Low,Expanded DHCP pool range for subnet [subnet]. Additional 6 IP addresses available.,23-03-2025 10:36,Resolved,1
INCS247W,Network equipment overheating in Building B,VLAN [vlan_id] misconfigured on SW-MGMT-01. Inter-VLAN communication broken.,Network,Critical,Optimized QoS settings and upgraded interface capacity. Latency reduced to 888ms.,03-07-2025 10:36,Resolved,58
INCI517P,Network connectivity issues in Remote Site,VLAN [vlan_id] misconfigured on SW-DMZ-01. Inter-VLAN communication broken.,Network,Critical,Expanded DHCP pool range for subnet [subnet]. Additional 6 IP addresses available.,30-09-2025 10:36,Resolved,9
INCE131V,Wireless connectivity issues in [area],VLAN [vlan_id] misconfigured on SW-DMZ-01. Inter-VLAN communication broken.,Network,Critical,Improved ventilation and cleaned equipment fans. Temperature normalized in Branch Office.,24-03-2025 10:36,Closed,63
INCE025B,DNS resolution failures for mail.company.com,VLAN [vlan_id] misconfigured on SW-DMZ-01. Inter-VLAN communication broken.,Network,High,Optimized QoS settings and upgraded interface capacity. Latency reduced to 503ms.,13-05-2025 10:36,Closed,27
INCO901W,Routing table corruption on [router],VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Low,Corrected VLAN [vlan_id] configuration on SW-CORE-01. Inter-VLAN routing restored.,07-12-2025 10:36,Closed,19
INCR519Z,Switch port failure on SW-CORE-01,VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Medium,Identified faulty network cable and replaced. Connectivity restored to Building A with 0% packet loss.,11-02-2026 10:36,Resolved,56
INCO093V,High latency on network segment [segment],VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Critical,Improved ventilation and cleaned equipment fans. Temperature normalized in Building B.,05-06-2025 10:36,Resolved,59
INCP538N,Bandwidth utilization high on [interface],VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Medium,Optimized QoS settings and upgraded interface capacity. Latency reduced to 685ms.,08-02-2026 10:36,Closed,69
INCI118D,Wireless connectivity issues in [area],VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,High,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,10-08-2025 10:36,Closed,22
INCE850N,Network connectivity issues in Building B,VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,High,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,02-02-2026 10:36,Closed,4
INCE335T,Switch port failure on SW-ACCESS-02,VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Low,Replaced faulty port module on SW-CORE-01. All 37 devices reconnected successfully.,26-01-2026 10:36,Resolved,65
INCG785E,Switch port failure on SW-CORE-01,VLAN [vlan_id] misconfigured on SW-CORE-01. Inter-VLAN communication broken.,Network,Critical,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,13-03-2026 10:36,Closed,37
INCE805R,DNS resolution failures for api.company.com,VLAN [vlan_id] misconfigured on SW-ACCESS-02. Inter-VLAN communication broken.,Network,High,Expanded DHCP pool range for subnet [subnet]. Additional 13 IP addresses available.,21-09-2025 10:36,Resolved,54
INCC661V,DHCP pool exhausted in [subnet],VLAN [vlan_id] misconfigured on SW-ACCESS-02. Inter-VLAN communication broken.,Network,High,Improved ventilation and cleaned equipment fans. Temperature normalized in Building A.,04-01-2026 10:36,Closed,45
INCY648W,Switch port failure on SW-DMZ-01,VLAN [vlan_id] misconfigured on SW-ACCESS-02. Inter-VLAN communication broken.,Network,High,Optimized QoS settings and upgraded interface capacity. Latency reduced to 729ms.,23-04-2025 10:36,Closed,5
INCO452O,DNS resolution failures for app.company.com,VLAN [vlan_id] misconfigured on SW-ACCESS-02. Inter-VLAN communication broken.,Network,Low,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,07-11-2025 10:36,Resolved,38
INCF987J,Integration failure between HRMS and Mail Service,Users reporting [error_type] errors in SharePoint. Error occurs during [operation]. Multiple users affected.,Application,Critical,Reconfigured integration settings. Data exchange between CRM and Database Service restored.,01-01-2026 10:36,Resolved,63
INCJ472O,Jira application error - [error_type],Users reporting [error_type] errors in SharePoint. Error occurs during [operation]. Multiple users affected.,Application,Critical,Reconfigured integration settings. Data exchange between HRMS and File Service restored.,14-12-2025 10:36,Closed,68
INCW487U,Data sync issues in Salesforce,Users reporting [error_type] errors in SharePoint. Error occurs during [operation]. Multiple users affected.,Application,Medium,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,06-09-2025 10:36,Resolved,1
INCM611Q,Feature not working in ERP,Users reporting [error_type] errors in Salesforce. Error occurs during [operation]. Multiple users affected.,Application,Medium,Increased API timeout values and optimized service calls. API response times now within acceptable range.,22-12-2025 10:36,Closed,61
INCG714H,Performance issues with Salesforce,Users reporting [error_type] errors in Jira. Error occurs during [operation]. Multiple users affected.,Application,Low,Increased API timeout values and optimized service calls. API response times now within acceptable range.,05-02-2026 10:36,Resolved,48
INCN907U,CRM deployment failed,Users reporting [error_type] errors in Jira. Error occurs during [operation]. Multiple users affected.,Application,Critical,Reconfigured integration settings. Data exchange between Jira and Database Service restored.,28-11-2025 10:36,Closed,26
INCL117Y,Feature not working in Jira,Users reporting [error_type] errors in Jira. Error occurs during [operation]. Multiple users affected.,Application,Low,Resolved sync failure by fixing database schema mismatch. Updated mapping configuration and reprocessed failed records. Data consistency verified.,23-11-2025 10:36,Resolved,38
INCL478Z,Feature not working in HRMS,Users reporting [error_type] errors in Jenkins. Error occurs during [operation]. Multiple users affected.,Application,Critical,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,03-05-2025 10:36,Resolved,64
INCH663C,Jira database connection failed,Users reporting [error_type] errors in HRMS. Error occurs during [operation]. Multiple users affected.,Application,Medium,Fixed data sync by resolving authentication token expiration issue. Renewed service credentials and restarted integration. Implemented automatic token refresh.,22-12-2025 10:36,Resolved,71
INCB808U,HRMS database connection failed,Users reporting [error_type] errors in HRMS. Error occurs during [operation]. Multiple users affected.,Application,High,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,21-12-2025 10:36,Resolved,48
INCO549D,Performance issues with Jenkins,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,High,Applied application patch to fix [feature] functionality. Feature now working as expected.,10-05-2025 10:36,Closed,62
INCP871K,ERP UI rendering problems,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,Low,Applied application patch to fix [feature] functionality. Feature now working as expected.,02-07-2025 10:36,Closed,13
INCV962M,Performance issues with ERP,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,Low,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,08-05-2025 10:36,Closed,59
INCD454F,Integration failure between Jenkins and Database Service,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,High,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,18-12-2025 10:36,Resolved,69
INCW880O,CRM UI rendering problems,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,Critical,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,01-08-2025 10:36,Closed,41
INCP249O,API timeout in Confluence,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,Low,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,06-09-2025 10:36,Resolved,26
INCS274K,Feature not working in Confluence,Users reporting [error_type] errors in CRM. Error occurs during [operation]. Multiple users affected.,Application,High,Investigated deployment pipeline. Fixed configuration issue and successfully deployed version [version].,27-04-2025 10:36,Resolved,55
INCT691U,Data sync issues in Jira,Users reporting [error_type] errors in CRM. Error occurs during [operation]. Multiple users affected.,Application,Critical,Reset user credentials and cleared authentication cache. User successfully logged in.,06-04-2025 10:36,Resolved,35
INCQ616A,Confluence database connection failed,Users reporting [error_type] errors in Confluence. Error occurs during [operation]. Multiple users affected.,Application,Low,Optimized database queries and application caching. Performance improved by 22%.,21-06-2025 10:36,Closed,65
INCE778L,Feature not working in Jira,Users reporting [error_type] errors in Confluence. Error occurs during [operation]. Multiple users affected.,Application,High,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,03-10-2025 10:36,Resolved,68
INCG686I,VLAN configuration error on SW-ACCESS-02,Users in Remote Site experiencing intermittent connectivity. Packet loss at 95% detected.,Network,Critical,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,17-09-2025 10:36,Closed,3
INCV648T,Routing table corruption on [router],Users in Remote Site experiencing intermittent connectivity. Packet loss at 85% detected.,Network,Low,Optimized QoS settings and upgraded interface capacity. Latency reduced to 668ms.,18-11-2025 10:36,Resolved,23
INCG927Y,DNS resolution failures for app.company.com,Users in Remote Site experiencing intermittent connectivity. Packet loss at 78% detected.,Network,Medium,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,12-06-2025 10:36,Resolved,44
INCO239R,Network connectivity issues in Remote Site,Users in Remote Site experiencing intermittent connectivity. Packet loss at 77% detected.,Network,High,Fixed DNS server configuration and cleared cache. Domain company.com resolution working normally.,19-08-2025 10:36,Resolved,41
INCM281A,Network connectivity issues in Building A,Users in Remote Site experiencing intermittent connectivity. Packet loss at 72% detected.,Network,Medium,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,08-06-2025 10:36,Resolved,50
INCI744L,Bandwidth utilization high on [interface],Users in Data Center experiencing intermittent connectivity. Packet loss at 92% detected.,Network,High,Expanded DHCP pool range for subnet [subnet]. Additional 19 IP addresses available.,28-09-2025 10:36,Resolved,51
INCN194D,Network equipment overheating in Data Center,Users in Data Center experiencing intermittent connectivity. Packet loss at 86% detected.,Network,High,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,12-12-2025 10:36,Closed,23
INCV639X,Bandwidth utilization high on [interface],Users in Building B experiencing intermittent connectivity. Packet loss at 88% detected.,Network,Low,Identified faulty network cable and replaced. Connectivity restored to Building B with 0% packet loss.,15-04-2025 10:36,Closed,8
INCU075O,Bandwidth utilization high on [interface],Users in Building B experiencing intermittent connectivity. Packet loss at 78% detected.,Network,High,Fixed DNS server configuration and cleared cache. Domain mail.company.com resolution working normally.,31-07-2025 10:36,Resolved,3
INCR417C,Bandwidth utilization high on [interface],Users in Building B experiencing intermittent connectivity. Packet loss at 78% detected.,Network,Medium,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,23-02-2026 10:36,Closed,45
INCL381J,Network connectivity issues in Building B,Users in Building A experiencing intermittent connectivity. Packet loss at 77% detected.,Network,High,Corrected VLAN [vlan_id] configuration on SW-CORE-01. Inter-VLAN routing restored.,23-05-2025 10:36,Closed,40
INCW306A,Network connectivity issues in Branch Office,Users in Branch Office experiencing intermittent connectivity. Packet loss at 90% detected.,Network,Low,Optimized QoS settings and upgraded interface capacity. Latency reduced to 732ms.,08-08-2025 10:36,Resolved,36
INCV475W,DHCP pool exhausted in [subnet],Users in Branch Office experiencing intermittent connectivity. Packet loss at 85% detected.,Network,Critical,Fixed DNS server configuration and cleared cache. Domain company.com resolution working normally.,02-08-2025 10:36,Closed,6
INCU114A,Routing table corruption on [router],Users in Branch Office experiencing intermittent connectivity. Packet loss at 85% detected.,Network,Medium,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,11-12-2025 10:36,Closed,44
INCL629N,Routing table corruption on [router],Users in Branch Office experiencing intermittent connectivity. Packet loss at 83% detected.,Network,High,Expanded DHCP pool range for subnet [subnet]. Additional 9 IP addresses available.,22-10-2025 10:36,Closed,51
INCC087X,Switch port failure on SW-DMZ-01,Users in Branch Office experiencing intermittent connectivity. Packet loss at 77% detected.,Network,Medium,Identified faulty network cable and replaced. Connectivity restored to Building B with 0% packet loss.,16-10-2025 10:36,Closed,68
INCU979J,Jenkins deployment failed,User sarah.johnson unable to authenticate to Salesforce. Password reset attempts failing. Access required urgently.,Application,Critical,Reset user credentials and cleared authentication cache. User successfully logged in.,03-01-2026 10:36,Resolved,42
INCU175R,ERP UI rendering problems,User sarah.johnson unable to authenticate to Jira. Password reset attempts failing. Access required urgently.,Application,High,Resolved data sync issue by restarting the integration service and clearing the sync queue. Verified all user records are properly synchronized. Implemented monitoring to prevent future failures.,14-12-2025 10:36,Closed,64
INCZ698K,Integration failure between Jira and Web Service,User sarah.johnson unable to authenticate to Jira. Password reset attempts failing. Access required urgently.,Application,High,Resolved sync problem by updating integration middleware version. Applied compatibility patches and verified all data flows. System operating normally.,30-05-2025 10:36,Resolved,35
INCJ589V,API timeout in Salesforce,User sarah.johnson unable to authenticate to Jenkins. Password reset attempts failing. Access required urgently.,Application,High,Applied application patch to fix [feature] functionality. Feature now working as expected.,24-09-2025 10:36,Resolved,7
INCB570H,User access request for Active Directory,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,High,Completed privileged account audit. 24 findings documented and remediation planned.,16-09-2025 10:36,Closed,27
INCK872V,Multi-factor authentication setup,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Critical,Completed privileged account audit. 35 findings documented and remediation planned.,05-08-2025 10:36,Closed,61
INCE161Y,Service account password reset,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,High,Completed role-based access review for [department]. 38 access changes implemented.,17-06-2025 10:36,Resolved,9
INCC128K,Permission escalation required for mike.wilson,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,High,Configured MFA for john.doe using [device_type]. Authentication testing successful.,02-06-2025 10:36,Resolved,7
INCO884X,Privileged account audit request,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Critical,Fixed SSO configuration for AWS Console. Identity provider integration restored successfully.,04-09-2025 10:36,Closed,14
INCJ564A,Privileged account audit request,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,High,Fixed SSO configuration for Oracle EBS. Identity provider integration restored successfully.,14-11-2025 10:36,Closed,38
INCH861D,User access request for AWS Console,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Low,Fixed SSO configuration for SAP. Identity provider integration restored successfully.,04-02-2026 10:36,Closed,16
INCM882X,Access revocation for terminated employee,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,High,Fixed SSO configuration for SAP. Identity provider integration restored successfully.,28-03-2025 10:36,Resolved,6
INCJ293G,Role-based access review required,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Low,Granted temporary elevated permissions to david.brown. Automatic revocation scheduled for [date].,05-04-2025 10:36,Resolved,4
INCG781F,Single sign-on configuration issue,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Low,Granted temporary elevated permissions to mike.wilson. Automatic revocation scheduled for [date].,20-07-2025 10:36,Closed,66
INCV868D,Account lockout for user sarah.johnson,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Medium,Granted temporary elevated permissions to sarah.johnson. Automatic revocation scheduled for [date].,24-11-2025 10:36,Closed,3
INCK792E,Suspicious login attempts detected,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,High,Applied critical security patch for CVE-[cve_id]. System vulnerability resolved and verified.,31-07-2025 10:36,Resolved,66
INCK956Z,Suspicious login attempts detected,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Critical,Confirmed phishing attempt. Blocked sender and updated email filters. User security training scheduled.,29-07-2025 10:36,Closed,17
INCZ807H,VPN connection issues for remote users,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Medium,Fixed antivirus update service and deployed latest definitions to all 27 workstations.,09-03-2026 10:36,Resolved,13
INCH105E,Suspicious login attempts detected,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Critical,Renewed SSL certificate for app.company.com. Certificate installed and verified across all services.,29-09-2025 10:36,Closed,29
INCK122A,Security patch deployment required,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Critical,Renewed SSL certificate for company.com. Certificate installed and verified across all services.,10-01-2026 10:36,Resolved,40
INCM099L,Antivirus signature update failed,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Low,Renewed SSL certificate for company.com. Certificate installed and verified across all services.,10-03-2026 10:36,Closed,34
INCW794O,Single sign-on configuration issue,User sarah.johnson account locked after 6 failed login attempts. Password reset requested.,Access Management,High,Revoked all access for terminated employee sarah.johnson. Access removal verified across all systems.,17-12-2025 10:36,Closed,65
INCT670K,SharePoint application error - [error_type],User mike.wilson unable to authenticate to SharePoint. Password reset attempts failing. Access required urgently.,Application,High,Reset user credentials and cleared authentication cache. User successfully logged in.,17-01-2026 10:36,Closed,20
INCP224I,Data sync issues in HRMS,User mike.wilson unable to authenticate to Confluence. Password reset attempts failing. Access required urgently.,Application,Low,Investigated deployment pipeline. Fixed configuration issue and successfully deployed version [version].,08-02-2026 10:36,Closed,49
INCF174F,Account lockout for user jane.smith,User mike.wilson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Medium,Completed [group_name] membership review. Removed 24 inactive members.,18-11-2025 10:36,Resolved,59
INCJ456T,Access revocation for terminated employee,User mike.wilson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Medium,Completed privileged account audit. 10 findings documented and remediation planned.,27-04-2025 10:36,Resolved,2
INCM347F,Account lockout for user david.brown,User mike.wilson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Medium,Configured MFA for david.brown using [device_type]. Authentication testing successful.,18-10-2025 10:36,Resolved,5
INCS601A,Service account password reset,User mike.wilson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Critical,Configured MFA for jane.smith using [device_type]. Authentication testing successful.,27-09-2025 10:36,Closed,19
INCK284E,Firewall rule review required,User mike.wilson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Medium,Disabled compromised account 19 and initiated password reset. Access logs reviewed.,15-03-2026 10:36,Resolved,31
INCU558J,Antivirus signature update failed,User mike.wilson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,High,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,28-09-2025 10:36,Closed,2
INCQ407R,Malware detected on workstation WS-001,User mike.wilson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Critical,Renewed SSL certificate for company.com. Certificate installed and verified across all services.,01-08-2025 10:36,Closed,2
INCX101Y,SSL certificate expiring for mail.company.com,User mike.wilson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,High,Renewed SSL certificate for mail.company.com. Certificate installed and verified across all services.,01-02-2026 10:36,Resolved,39
INCV741V,Permission escalation required for john.doe,User mike.wilson needs temporary elevated permissions for SAP. Duration: 5 days.,Access Management,Medium,Completed privileged account audit. 24 findings documented and remediation planned.,15-10-2025 10:36,Closed,52
INCQ623G,Role-based access review required,User mike.wilson needs temporary elevated permissions for SAP. Duration: 4 days.,Access Management,Critical,Configured MFA for david.brown using [device_type]. Authentication testing successful.,09-07-2025 10:36,Closed,16
INCT471W,User access request for SAP,User mike.wilson needs temporary elevated permissions for SAP. Duration: 2 days.,Access Management,Critical,Completed role-based access review for [department]. 41 access changes implemented.,10-01-2026 10:36,Resolved,47
INCS390U,Role-based access review required,User mike.wilson needs temporary elevated permissions for Active Directory. Duration: 7 days.,Access Management,Medium,Completed role-based access review for [department]. 20 access changes implemented.,04-01-2026 10:36,Closed,10
INCL650O,Privileged account audit request,User mike.wilson account locked after 5 failed login attempts. Password reset requested.,Access Management,Low,Granted temporary elevated permissions to david.brown. Automatic revocation scheduled for [date].,28-11-2025 10:36,Closed,51
INCW464I,Feature not working in ERP,User john.doe unable to authenticate to SharePoint. Password reset attempts failing. Access required urgently.,Application,High,Applied application patch to fix [feature] functionality. Feature now working as expected.,27-10-2025 10:36,Closed,14
INCP227G,Jenkins database connection failed,User john.doe unable to authenticate to SharePoint. Password reset attempts failing. Access required urgently.,Application,Critical,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,12-07-2025 10:36,Closed,34
INCZ718D,Performance issues with Confluence,User john.doe unable to authenticate to Jira. Password reset attempts failing. Access required urgently.,Application,High,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,29-09-2025 10:36,Closed,71
INCU505O,Jenkins UI rendering problems,User john.doe unable to authenticate to CRM. Password reset attempts failing. Access required urgently.,Application,High,Fixed synchronization by resolving memory overflow in sync service. Optimized memory usage and increased allocated resources. System stable.,23-08-2025 10:36,Closed,21
INCA209J,Jira deployment failed,User john.doe unable to authenticate to CRM. Password reset attempts failing. Access required urgently.,Application,Medium,Investigated deployment pipeline. Fixed configuration issue and successfully deployed version [version].,09-10-2025 10:36,Closed,70
INCZ484Z,Access revocation for terminated employee,User john.doe requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Low,Completed privileged account audit. 46 findings documented and remediation planned.,25-11-2025 10:36,Resolved,21
INCE484V,Access revocation for terminated employee,User john.doe requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Medium,Granted sarah.johnson appropriate access to AWS Console based on role [role]. Manager approval verified.,14-08-2025 10:36,Closed,59
INCK961A,Service account password reset,User john.doe requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Critical,Unlocked account for john.doe after identity verification. Password reset completed successfully.,31-07-2025 10:36,Resolved,14
INCV800O,Unauthorized access attempt on AWS Console,User john.doe reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Critical,Blocked IP address [ip_address] and implemented account lockout policy. User account secured.,06-06-2025 10:36,Resolved,13
INCY567G,VPN connection issues for remote users,User john.doe reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Medium,Disabled compromised account 29 and initiated password reset. Access logs reviewed.,03-01-2026 10:36,Resolved,13
INCO064D,VPN connection issues for remote users,User john.doe reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Low,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,24-03-2025 10:36,Resolved,55
INCC563R,Service account password reset,User john.doe needs temporary elevated permissions for Oracle EBS. Duration: 5 days.,Access Management,Medium,Reset service account 7 password. Updated [dependent_services] service configurations.,18-02-2026 10:36,Closed,26
